SQ-2-SE-4-PG-24-CC-27-4238,"Do you undertake standardisation and moderation activities, including how you sample assessment decisions?"
SQ-2-SE-4-PG-24-CC-40-3542,How will you conduct end-point assessments?
SQ-2-SE-4-PG-24-5041,
SQ-2-SE-4-PG-24-CC-34-1658,Do you intend to outsource any of your end-point assessment?
SQ-2-SE-4-PG-24-CC-21-4710,How many assessors do you have?
SQ-1-SE-1-PG-11-150,
SQ-2-SE-4-PG-24-CC-25-1006,How do you ensure your assessors occupational expertise is maintained and kept current?<br/>Include examples of your professional development activities.
SQ-2-SE-4-PG-24-CC-08-3078,Post code9
SQ-2-SE-4-PG-24-4297,
SQ-1-SE-2-PG-21-A_DEL-28.1-398,Provide details of any mitigating factors that you think should be taken into consideration
SQ-2-SE-4-PG-24-CC-29-2882,Do you allow for fair access?
SQ-2-SE-4-PG-24-CC-21-4958,How many assessors do you have?
SQ-2-SE-4-PG-24-CC-26-2994,Do you monitor assessor practice and decisions?
SQ-2-SE-4-PG-24-CC-28-4738,Do you have a complaints and appeals procedure?
SQ-2-SE-4-PG-24-CC-35-918,Do you have procedures in place to obtain assurance on the quality of the occupational capacity of the outsourced services?
SQ-1-SE-2-PG-21-A_DEL-22.1-335,Provide details of any mitigating factors that you think should be taken into consideration
SQ-2-SE-4-PG-24-CC-32-534,Provide your UK Provider Registration Number (UKPRN)5
SQ-2-SE-4-PG-24-CC-12-1226,Email address5
SQ-2-SE-4-PG-24-CC-24-5466,"What experience, skills and qualifications do your assessors have?"
SQ-2-SE-4-PG-24-CC-24-630,"What experience, skills and qualifications do your assessors have?"
SQ-1-SE-1-PG-9-122,
SQ-1-SE-1-PG-3-22,"<p class=""govuk-body"">This information will be published on the Register of end point assessment organisations and will be made available to the public.</p>"
SQ-2-SE-4-PG-24-3058,
SQ-2-SE-4-PG-24-CC-40-3046,How will you conduct end-point assessments?
SQ-2-SE-4-PG-24-CC-32-1030,Provide your UK Provider Registration Number (UKPRN)5
SQ-2-SE-4-PG-24-CC-39-1678,Where will you conduct end-point assessments?
SQ-2-SE-4-PG-24-CC-42-1690,Do you have the capacity and capability to deliver the following as part of a complete end-point assessment process?<br/><br/>Secure IT infrastructure
SQ-2-SE-4-PG-24-HEADER-14-2570,
SQ-2-SE-4-PG-24-CC-06-3818,Post code6
SQ-2-SE-4-PG-24-CC-10-2710,Provide full details of any remedial action that you think the Education and Skills Funding Agency (ESFA) should take into consideration
SQ-2-SE-4-PG-24-CC-10-1842,Provide full details of any remedial action that you think the Education and Skills Funding Agency (ESFA) should take into consideration
SQ-2-SE-4-PG-24-HEADER-15-3218,
SQ-2-SE-4-PG-24-1944,
SQ-2-SE-4-PG-24-CC-06-1214,Post code6
SQ-2-SE-4-PG-24-CC-39-4282,Where will you conduct end-point assessments?
SQ-2-SE-4-PG-24-CC-01-4426,Address9
SQ-1-SE-1-PG-4-CD-08-54,Address
